IGT_ID,IGT_IMP_ID,IGT_BGT_ID
7152,5932,5
7153,5530,5
1782,6175,5
3031,5776,5
3032,6099,5
3034,6077,5
7155,5848,9
7156,5753,5
7157,6295,5
7158,6100,5
7159,5800,3
7495,5684,5
3035,5603,5
7160,5712,5
7161,5509,5
3167,5832,5
3168,5907,5
3169,5970,5
7163,5668,5
7451,6199,5
7164,5568,5
7165,5910,5
7166,5512,5
7169,5835,5
7170,6027,5
7171,6070,5
7172,6245,9
7174,5691,5
7175,5569,5
7177,6278,5
7178,5950,5
7179,5576,5
3041,5885,5
1987,6139,5
3042,5615,5
7180,6097,9
1979,6201,5
7181,5983,14
1982,6214,5
7182,5583,9
7183,6297,9
7184,5909,14
1991,5607,5
7185,5686,9
7186,5838,3
1994,5824,5
7187,6076,9
1997,6057,5
1999,6115,11
7188,5754,5
7189,5647,9
7190,5988,9
2004,5546,5
7191,5785,5
7192,5735,5
2007,6105,5
2009,5786,5
7193,6166,5
7194,6020,5
5710,4802,5
5712,976,5
5908,3164,5
5912,5474,5
5915,3943,5
5917,5191,5
6146,1308,5
6144,4394,9
5742,2511,5
5744,1614,5
5322,4190,5
5323,3721,5
5324,1638,5
5910,4814,5
5892,5434,5
5896,4508,5
5901,1292,5
5218,1740,5
5217,2003,5
5216,2127,5
5213,4722,9
5907,4773,5
5918,1109,5
5922,3617,5
5926,3042,5
5725,4411,5
5724,4092,5
5723,1230,5
5726,1960,5
5622,581,5
5623,4438,5
5624,897,5
5625,3029,5
6373,1445,5
379,5333,5
380,2022,5
6372,2978,14
383,3482,5
384,504,5
6319,3279,5
6409,2383,9
388,3514,5
389,854,6
6430,2927,5
7276,1229,5
7279,4179,5
394,4868,5
395,1505,14
6359,2736,9
6369,3888,9
5405,1351,5
5407,253,5
5409,3966,5
405,3378,5
6358,1112,5
6588,3523,3
6607,570,9
6415,860,5
6431,4192,9
6421,2953,9
6423,3495,5
6368,131,5
8074,249,5
8075,3975,5
6340,652,9
6426,5388,5
427,194,5
6335,2767,9
6398,1056,14
6878,5309,5
6881,4769,5
9984,150,5
437,5883,5
9408,1055,5
8328,2483,5
8329,392,8
8330,3608,14
9596,4015,9
8333,3395,5
8334,3645,5
8337,3104,5
8078,1095,9
8340,3447,5
8341,3296,5
8342,4583,9
8343,938,5
8344,3788,5
8345,3388,5
9221,1769,5
10043,5041,5
8346,3153,5
9227,1537,8
